City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-11-28 01:49:25,-23.1203,-134.9692,76.08,70,32,7.47
1,Port Macquarie,AU,2022-11-28 01:45:06,-31.4333,152.9167,71.76,77,30,14.99
2,Busselton,AU,2022-11-28 01:49:26,-33.65,115.3333,70.0,41,0,9.31
3,Castro,BR,2022-11-28 01:49:26,-24.7911,-50.0119,59.02,97,99,10.02
4,Mudgee,AU,2022-11-28 01:49:26,-32.5943,149.5871,75.78,37,0,11.21
5,Kargalinskaya,RU,2022-11-28 01:49:27,43.7417,46.4792,43.83,78,100,5.75
6,San Cristobal,VE,2022-11-28 01:49:27,7.7669,-72.225,68.18,98,100,2.28
7,Avarua,CK,2022-11-28 01:49:27,-21.2078,-159.775,80.65,65,75,17.27
8,Ostrovnoy,RU,2022-11-28 01:49:28,68.0531,39.5131,25.3,86,100,23.02
9,Penzance,GB,2022-11-28 01:49:28,50.1186,-5.5371,52.48,77,10,26.84
10,Maceio,BR,2022-11-28 01:49:28,-9.6658,-35.7353,76.44,88,0,6.91
11,Jamestown,US,2022-11-28 01:47:09,42.097,-79.2353,48.02,79,100,12.66
12,Souillac,MU,2022-11-28 01:49:29,-20.5167,57.5167,70.18,83,75,2.3
13,Reo,BF,2022-11-28 01:49:29,12.3167,-2.4667,73.42,20,100,7.14
14,Dwarka,IN,2022-11-28 01:49:30,22.2394,68.9678,73.85,51,0,6.89
15,Birecik,TR,2022-11-28 01:49:30,37.0294,37.9903,47.41,74,94,4.94
16,Arraial Do Cabo,BR,2022-11-28 01:49:30,-22.9661,-42.0278,72.88,92,80,18.5
17,Whitehorse,CA,2022-11-28 01:46:11,60.7161,-135.0538,12.97,81,75,8.05
18,Ushuaia,AR,2022-11-28 01:49:31,-54.8,-68.3,53.26,54,20,6.91
19,Teknaf,BD,2022-11-28 01:49:31,20.8624,92.3058,77.14,68,16,2.64
20,Albany,US,2022-11-28 01:49:32,42.6001,-73.9662,48.72,93,100,4.5
21,Tiksi,RU,2022-11-28 01:44:53,71.6872,128.8694,-29.61,99,57,6.78
22,Laguna,US,2022-11-28 01:49:32,38.421,-121.4238,58.75,57,0,5.75
23,Goderich,CA,2022-11-28 01:46:11,43.7501,-81.7165,41.92,93,100,12.66
24,Hithadhoo,MV,2022-11-28 01:44:49,-0.6,73.0833,80.82,76,100,5.64
25,Vao,NC,2022-11-28 01:45:00,-22.6667,167.4833,76.32,81,30,17.0
26,Riyadh,SA,2022-11-28 01:44:52,24.6877,46.7219,60.94,38,8,3.11
27,Mataura,NZ,2022-11-28 01:49:33,-46.1927,168.8643,62.47,35,35,4.92
28,Hilo,US,2022-11-28 01:49:33,19.7297,-155.09,76.73,77,20,9.22
29,Punta Arenas,CL,2022-11-28 01:49:34,-53.15,-70.9167,53.71,58,0,8.05
30,Sao Filipe,CV,2022-11-28 01:49:34,14.8961,-24.4956,76.98,62,92,10.51
31,Saint-Philippe,RE,2022-11-28 01:49:34,-21.3585,55.7679,71.19,76,100,2.89
32,Taoudenni,ML,2022-11-28 01:45:33,22.6783,-3.9836,66.79,21,41,18.01
33,Vaini,TO,2022-11-28 01:49:35,-21.2,-175.2,84.36,79,75,12.66
34,Cherskiy,RU,2022-11-28 01:49:35,68.75,161.3,-13.58,97,100,4.45
35,Umm Lajj,SA,2022-11-28 01:49:36,25.0213,37.2685,75.27,51,100,2.93
36,Mar Del Plata,AR,2022-11-28 01:49:36,-38.0023,-57.5575,66.09,99,100,15.01
37,Atuona,PF,2022-11-28 01:49:36,-9.8,-139.0333,78.33,71,5,12.44
38,Mehamn,NO,2022-11-28 01:49:37,71.0357,27.8492,31.91,93,7,9.22
39,Klaksvik,FO,2022-11-28 01:49:37,62.2266,-6.589,49.12,85,80,29.62
40,Kedrovyy,RU,2022-11-28 01:49:37,56.1667,91.8167,-8.14,93,100,9.62
41,Broome,US,2022-11-28 01:49:38,42.2506,-75.833,47.01,88,100,9.22
42,Port Blair,IN,2022-11-28 01:49:38,11.6667,92.75,78.84,89,20,1.14
43,Oda,JP,2022-11-28 01:49:39,35.1833,132.5,56.17,54,2,9.22
44,Henties Bay,NA,2022-11-28 01:49:39,-22.116,14.2845,56.64,85,37,1.57
45,Sepolno Krajenskie,PL,2022-11-28 01:49:39,53.452,17.5317,35.74,93,88,6.85
46,Port Elizabeth,ZA,2022-11-28 01:44:56,-33.918,25.5701,65.1,93,40,9.22
47,Thompson,CA,2022-11-28 01:49:40,55.7435,-97.8558,19.56,93,75,5.75
48,Awbari,LY,2022-11-28 01:50:40,26.5921,12.7805,50.32,62,0,14.5
49,Ambulu,ID,2022-11-28 01:50:41,-8.345,113.6058,79.93,83,100,0.54
50,Ancud,CL,2022-11-28 01:48:24,-41.8697,-73.8203,55.65,85,100,1.19
51,Denpasar,ID,2022-11-28 01:50:40,-8.65,115.2167,82.06,83,40,3.44
52,Hermanus,ZA,2022-11-28 01:50:42,-34.4187,19.2345,63.81,80,60,19.71
53,Chokurdakh,RU,2022-11-28 01:50:42,70.6333,147.9167,-41.12,100,93,1.34
54,Vardo,NO,2022-11-28 01:50:42,70.3705,31.1107,31.98,86,53,19.57
55,New Norfolk,AU,2022-11-28 01:50:43,-42.7826,147.0587,62.1,54,100,7.0
56,Yeppoon,AU,2022-11-28 01:50:43,-23.1333,150.7333,87.58,59,93,11.3
57,San Patricio,US,2022-11-28 01:50:44,28.017,-97.5169,66.83,77,0,3.47
58,Khatanga,RU,2022-11-28 01:50:44,71.9667,102.5,-28.32,100,100,3.02
59,Kapaa,US,2022-11-28 01:50:45,22.0752,-159.319,78.78,74,40,8.05
60,Havoysund,NO,2022-11-28 01:50:45,70.9963,24.6622,35.83,85,27,7.16
61,Port Hedland,AU,2022-11-28 01:50:46,-20.3167,118.5667,86.05,66,40,10.36
62,Cabo San Lucas,MX,2022-11-28 01:50:46,22.8909,-109.9124,67.17,63,0,4.03
63,Behshahr,IR,2022-11-28 01:50:47,36.6923,53.5526,57.42,90,95,3.06
64,Naze,JP,2022-11-28 01:46:06,28.3667,129.4833,74.32,72,87,18.9
65,Kodiak,US,2022-11-28 01:50:47,57.79,-152.4072,29.71,59,75,0.0
66,Hasaki,JP,2022-11-28 01:50:48,35.7333,140.8333,55.29,62,100,9.66
67,Bluff,NZ,2022-11-28 01:50:48,-46.6,168.3333,62.8,66,60,9.01
68,Mount Gambier,AU,2022-11-28 01:50:49,-37.8333,140.7667,58.91,66,100,12.57
69,Constitucion,CL,2022-11-28 01:50:49,-35.3333,-72.4167,57.9,91,84,6.78
70,Lagoa,PT,2022-11-28 01:47:04,39.05,-27.9833,64.35,90,100,35.41
71,Aklavik,CA,2022-11-28 01:50:50,68.2191,-135.0107,-11.76,99,100,4.43
72,Hobart,AU,2022-11-28 01:50:50,-42.8794,147.3294,62.46,55,75,18.41
73,Huarmey,PE,2022-11-28 01:50:51,-10.0681,-78.1522,66.7,85,40,7.07
74,Qaanaaq,GL,2022-11-28 01:50:51,77.484,-69.3632,-9.99,72,69,6.35
75,Kollam,IN,2022-11-28 01:50:52,8.8833,76.6,77.02,84,57,3.94
76,Yellowknife,CA,2022-11-28 01:47:59,62.456,-114.3525,7.32,85,20,15.01
77,Anadyr,RU,2022-11-28 01:50:52,64.75,177.4833,23.5,80,20,13.42
78,Port Alfred,ZA,2022-11-28 01:50:53,-33.5906,26.891,61.18,94,53,11.95
79,Cap Malheureux,MU,2022-11-28 01:50:53,-19.9842,57.6142,71.47,78,49,1.99
80,Alice Springs,AU,2022-11-28 01:50:53,-23.7,133.8833,81.95,26,40,12.66
81,Clyde River,CA,2022-11-28 01:50:54,70.4692,-68.5914,-23.57,76,0,4.61
82,Bani,DO,2022-11-28 01:50:54,18.2833,-70.3333,74.64,85,8,10.98
